date,method,n,accuracy,mae,mae_zero,good
2026-01-07,ridge_full,10,0.5,1.486881827319805,1.5286110949069165,False
2026-01-08,ridge_full,10,0.4,3.6103514241326984,3.3970622856846844,False
2026-01-09,ridge_full,10,0.4,1.1063709478901278,1.060809975080269,False
2026-01-12,ridge_full,10,0.6,2.8818544542834,2.9223127918337366,False
2026-01-13,ridge_full,10,0.6,3.4460219993396897,3.5261833421319273,False
2026-01-14,ridge_full,10,0.5,2.0535622934067703,2.0442333404348667,False
2026-01-15,ridge_full,10,0.4,1.585120532577298,1.4829496230451156,False
2026-01-16,ridge_full,10,0.3,2.3997588087838304,2.364482598197386,False
2026-01-19,ridge_full,10,0.8,3.6083680698744622,3.7483909079880475,False
2026-01-20,ridge_full,10,0.3,2.591972449318848,2.4730283968186817,False
2026-01-21,ridge_full,10,0.7,2.4041169207422843,2.3990342401731723,False
2026-01-22,ridge_full,10,0.5,4.396201093014676,4.491234835694041,False
2026-01-23,ridge_full,10,0.1,4.372263443848377,3.921983080614865,False
2026-01-26,ridge_full,10,0.2,1.8218234084747131,1.144484217038736,False
2026-01-27,ridge_full,10,0.7,1.0561603081550932,1.106822722865255,False
2026-01-28,ridge_full,10,0.2,2.869574640145973,2.62076128312367,False
2026-01-29,ridge_full,10,0.3,2.8608323541103773,2.6131494904876864,False
2026-01-30,ridge_full,10,0.6,3.3086487621391782,3.4761154858553645,False
2026-02-02,ridge_full,10,0.5,4.278027655114507,4.29969285837179,False
2026-02-03,ridge_full,10,0.5,2.169192628216069,2.0727946790862295,False
2026-02-04,ridge_full,10,0.8,0.9952101110770295,1.2280140093633352,True
2026-02-05,ridge_full,10,0.3,2.917783111888463,2.6443030379237102,False
